params,total_cycles,total_cost
1 2 2 0 1 1 3 1 1 0,4197847.5,16933.231105353534
2 0 2 3 0 0 2 1 2 0,2286050.3125,16951.484973072977
2 2 3 1 3 0 2 0 2 0,2794211.25,41291.08297396993
3 1 0 0 2 0 0 0 1 0,3367023.75,7335.357622059673
3 3 0 3 0 2 2 1 2 0,735727.5,27016.64900891717
0 0 0 0 1 0 0 1 0 0,20454180.0,1069.5299777107764
0 2 0 2 3 2 3 0 0 0,1479125.0,18896.018919801696
1 0 1 1 2 1 2 1 1 0,5874885.0,9037.701911564724
1 2 2 0 1 1 3 1 2 0,7463829.375,16933.231105353534
2 0 2 3 0 0 3 1 0 0,863235.0,26167.484973072977
2 2 3 1 3 0 2 1 0 0,776640.0,41291.08297396993
3 1 0 0 2 0 0 0 2 0,6693884.0625,7335.357622059673
3 3 0 3 0 2 3 0 0 0,359185.0,33160.64900891717
0 0 0 0 1 0 0 1 1 0,34269508.125,1069.5299777107764
0 2 0 2 3 2 3 0 1 0,2452162.5,18896.018919801696
1 0 1 1 2 1 2 1 2 0,12124850.0,9037.701911564724
1 2 2 0 1 2 0 0 0 0,2942250.0,4645.231105353535
2 0 2 3 0 0 3 1 1 0,1350433.125,26167.484973072977
2 2 3 1 3 0 2 1 1 0,1270400.625,41291.08297396993
3 1 0 0 2 0 0 1 0 0,1802760.0,7335.357622059673
3 3 0 3 0 2 3 0 1 0,545911.875,33160.64900891717
0 0 0 0 1 0 1 0 0 0,19923260.0,1709.5299777107764
0 2 0 2 3 2 3 1 0 0,1478945.0,18896.018919801696
1 0 1 1 2 1 3 0 0 0,3498990.0,13645.701911564724
1 2 2 0 1 2 0 0 1 0,4566262.5,4645.231105353535
2 0 2 3 0 0 3 1 2 0,2261920.3125,26167.484973072977
2 2 3 1 3 0 2 1 2 0,2794045.0,41291.08297396993
